Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
25621707630391;Courbe de charge;20/10/2020;20/10/2021;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2021-06-10T21:00:00+02:00;2318
2021-06-10T22:00:00+02:00;2189
2021-06-10T23:00:00+02:00;640
2021-06-11T00:00:00+02:00;268
2021-06-11T01:00:00+02:00;266
2021-06-11T02:00:00+02:00;259
2021-06-11T03:00:00+02:00;440
2021-06-11T04:00:00+02:00;253
2021-06-11T05:00:00+02:00;273
2021-06-11T06:00:00+02:00;572
2021-06-11T07:00:00+02:00;438
2021-06-11T08:00:00+02:00;968
2021-06-11T09:00:00+02:00;602
2021-06-11T10:00:00+02:00;727
2021-06-11T11:00:00+02:00;1513
2021-06-11T12:00:00+02:00;333
2021-06-11T13:00:00+02:00;300
2021-06-11T14:00:00+02:00;281
2021-06-11T15:00:00+02:00;322
2021-06-11T16:00:00+02:00;349
2021-06-11T17:00:00+02:00;775
2021-06-11T18:00:00+02:00;738
2021-06-11T19:00:00+02:00;1476
2021-06-11T20:00:00+02:00;1694
2021-06-11T21:00:00+02:00;1618
2021-06-11T22:00:00+02:00;797
2021-06-11T23:00:00+02:00;745
2021-06-12T00:00:00+02:00;1346
2021-06-12T01:00:00+02:00;389
2021-06-12T02:00:00+02:00;216
2021-06-12T03:00:00+02:00;181
2021-06-12T04:00:00+02:00;166
2021-06-12T05:00:00+02:00;529
2021-06-12T06:00:00+02:00;183
2021-06-12T07:00:00+02:00;170
2021-06-12T08:00:00+02:00;869
2021-06-12T09:00:00+02:00;1474
2021-06-12T10:00:00+02:00;1122
2021-06-12T11:00:00+02:00;377
2021-06-12T12:00:00+02:00;227
2021-06-12T13:00:00+02:00;1635
2021-06-12T14:00:00+02:00;438
2021-06-12T15:00:00+02:00;399
2021-06-12T16:00:00+02:00;1566
2021-06-12T17:00:00+02:00;1385
2021-06-12T18:00:00+02:00;279
2021-06-12T19:00:00+02:00;2260
2021-06-12T20:00:00+02:00;1659
2021-06-12T21:00:00+02:00;1127
2021-06-12T22:00:00+02:00;986
2021-06-12T23:00:00+02:00;309
2021-06-13T00:00:00+02:00;829
2021-06-13T01:00:00+02:00;249
2021-06-13T02:00:00+02:00;319
2021-06-13T03:00:00+02:00;219
2021-06-13T04:00:00+02:00;560
2021-06-13T05:00:00+02:00;196
2021-06-13T06:00:00+02:00;210
2021-06-13T07:00:00+02:00;225
2021-06-13T08:00:00+02:00;1022
2021-06-13T09:00:00+02:00;376
2021-06-13T10:00:00+02:00;213
2021-06-13T11:00:00+02:00;197
2021-06-13T12:00:00+02:00;230
2021-06-13T13:00:00+02:00;181
2021-06-13T14:00:00+02:00;199
2021-06-13T15:00:00+02:00;536
2021-06-13T16:00:00+02:00;260
2021-06-13T17:00:00+02:00;801
2021-06-13T18:00:00+02:00;1413
2021-06-13T19:00:00+02:00;1545
2021-06-13T20:00:00+02:00;699
2021-06-13T21:00:00+02:00;2006
2021-06-13T22:00:00+02:00;941
2021-06-13T23:00:00+02:00;243
2021-06-14T00:00:00+02:00;224
2021-06-14T01:00:00+02:00;190
2021-06-14T02:00:00+02:00;232
2021-06-14T03:00:00+02:00;524
2021-06-14T04:00:00+02:00;780
2021-06-14T05:00:00+02:00;271
2021-06-14T06:00:00+02:00;535
2021-06-14T07:00:00+02:00;280
2021-06-14T08:00:00+02:00;406
2021-06-14T09:00:00+02:00;263
2021-06-14T10:00:00+02:00;257
2021-06-14T11:00:00+02:00;1518
2021-06-14T12:00:00+02:00;2255
2021-06-14T13:00:00+02:00;2113
2021-06-14T14:00:00+02:00;1275
2021-06-14T15:00:00+02:00;846
2021-06-14T16:00:00+02:00;702
2021-06-14T17:00:00+02:00;1022
2021-06-14T18:00:00+02:00;684
2021-06-14T19:00:00+02:00;2844
2021-06-14T20:00:00+02:00;1315
2021-06-14T21:00:00+02:00;985
2021-06-14T22:00:00+02:00;891
2021-06-14T23:00:00+02:00;237
2021-06-15T00:00:00+02:00;264
2021-06-15T01:00:00+02:00;217
2021-06-15T02:00:00+02:00;236
2021-06-15T03:00:00+02:00;740
2021-06-15T04:00:00+02:00;618
2021-06-15T05:00:00+02:00;185
2021-06-15T06:00:00+02:00;218
2021-06-15T07:00:00+02:00;371
2021-06-15T08:00:00+02:00;392
2021-06-15T09:00:00+02:00;288
2021-06-15T10:00:00+02:00;264
2021-06-15T11:00:00+02:00;280
2021-06-15T12:00:00+02:00;218
2021-06-15T13:00:00+02:00;653
2021-06-15T14:00:00+02:00;1310
2021-06-15T15:00:00+02:00;371
2021-06-15T16:00:00+02:00;271
2021-06-15T17:00:00+02:00;310
2021-06-15T18:00:00+02:00;560
2021-06-15T19:00:00+02:00;1500
2021-06-15T20:00:00+02:00;1947
2021-06-15T21:00:00+02:00;761
2021-06-15T22:00:00+02:00;1766
2021-06-15T23:00:00+02:00;388
2021-06-16T00:00:00+02:00;915
2021-06-16T01:00:00+02:00;198
2021-06-16T02:00:00+02:00;536
2021-06-16T03:00:00+02:00;213
2021-06-16T04:00:00+02:00;215
2021-06-16T05:00:00+02:00;192
2021-06-16T06:00:00+02:00;791
2021-06-16T07:00:00+02:00;252
2021-06-16T08:00:00+02:00;1089
2021-06-16T09:00:00+02:00;421
2021-06-16T10:00:00+02:00;1090
2021-06-16T11:00:00+02:00;1225
2021-06-16T12:00:00+02:00;931
2021-06-16T13:00:00+02:00;4000
2021-06-16T14:00:00+02:00;897
2021-06-16T15:00:00+02:00;474
2021-06-16T16:00:00+02:00;492
2021-06-16T17:00:00+02:00;299
2021-06-16T18:00:00+02:00;560
2021-06-16T19:00:00+02:00;2680
2021-06-16T20:00:00+02:00;1427
2021-06-16T21:00:00+02:00;1921
2021-06-16T22:00:00+02:00;391
2021-06-16T23:00:00+02:00;317
2021-06-17T00:00:00+02:00;263
2021-06-17T01:00:00+02:00;236
2021-06-17T02:00:00+02:00;875
2021-06-17T03:00:00+02:00;426
2021-06-17T04:00:00+02:00;205
2021-06-17T05:00:00+02:00;208
2021-06-17T06:00:00+02:00;236
2021-06-17T07:00:00+02:00;184
2021-06-17T08:00:00+02:00;481
2021-06-17T09:00:00+02:00;1208
2021-06-17T10:00:00+02:00;2406
2021-06-17T11:00:00+02:00;735
2021-06-17T12:00:00+02:00;569
2021-06-17T13:00:00+02:00;465
2021-06-17T15:00:00+02:00;312
2021-06-17T16:00:00+02:00;3835
2021-06-17T17:00:00+02:00;7683
2021-06-17T18:00:00+02:00;1904
2021-06-17T19:00:00+02:00;1273
2021-06-17T20:00:00+02:00;2142
2021-06-17T21:00:00+02:00;2066
2021-06-17T22:00:00+02:00;836
2021-06-17T23:00:00+02:00;255
2021-06-18T00:00:00+02:00;533
2021-06-18T01:00:00+02:00;292
2021-06-18T02:00:00+02:00;255
2021-06-18T03:00:00+02:00;238
2021-06-18T04:00:00+02:00;717
2021-06-18T05:00:00+02:00;549
2021-06-18T06:00:00+02:00;263
2021-06-18T07:00:00+02:00;254
2021-06-18T08:00:00+02:00;3252
2021-06-18T09:00:00+02:00;949
2021-06-18T10:00:00+02:00;2296
2021-06-18T11:00:00+02:00;1732
2021-06-18T12:00:00+02:00;983
2021-06-18T13:00:00+02:00;256
2021-06-18T14:00:00+02:00;305
2021-06-18T15:00:00+02:00;285
2021-06-18T16:00:00+02:00;323
2021-06-18T17:00:00+02:00;377
2021-06-18T18:00:00+02:00;715
2021-06-18T19:00:00+02:00;1417
2021-06-18T20:00:00+02:00;284
2021-06-18T21:00:00+02:00;277
2021-06-18T22:00:00+02:00;240
2021-06-18T23:00:00+02:00;315
2021-06-19T00:00:00+02:00;2518
2021-06-19T01:00:00+02:00;1055
2021-06-19T02:00:00+02:00;263
2021-06-19T03:00:00+02:00;286
2021-06-19T04:00:00+02:00;240
2021-06-19T05:00:00+02:00;278
2021-06-19T06:00:00+02:00;262
2021-06-19T07:00:00+02:00;275
2021-06-19T08:00:00+02:00;1591
2021-06-19T09:00:00+02:00;1307
2021-06-19T10:00:00+02:00;810
2021-06-19T11:00:00+02:00;704
2021-06-19T12:00:00+02:00;388
2021-06-19T13:00:00+02:00;379
2021-06-19T14:00:00+02:00;307
2021-06-19T15:00:00+02:00;274
2021-06-19T16:00:00+02:00;300
2021-06-19T17:00:00+02:00;258
2021-06-19T18:00:00+02:00;1516
2021-06-19T19:00:00+02:00;241
2021-06-19T20:00:00+02:00;272
2021-06-19T21:00:00+02:00;789
2021-06-19T22:00:00+02:00;2135
2021-06-19T23:00:00+02:00;1887
2021-06-20T00:00:00+02:00;1218
2021-06-20T01:00:00+02:00;392
2021-06-20T02:00:00+02:00;369
2021-06-20T03:00:00+02:00;504
2021-06-20T04:00:00+02:00;647
2021-06-20T05:00:00+02:00;251
2021-06-20T06:00:00+02:00;281
2021-06-20T07:00:00+02:00;247
2021-06-20T08:00:00+02:00;283
2021-06-20T09:00:00+02:00;650
2021-06-20T10:00:00+02:00;1263
2021-06-20T11:00:00+02:00;2105
2021-06-20T12:00:00+02:00;2552
2021-06-20T13:00:00+02:00;1602
2021-06-20T14:00:00+02:00;1149
2021-06-20T15:00:00+02:00;416
2021-06-20T16:00:00+02:00;482
2021-06-20T17:00:00+02:00;444
2021-06-20T18:00:00+02:00;199
2021-06-20T19:00:00+02:00;204
2021-06-20T20:00:00+02:00;1117
2021-06-20T21:00:00+02:00;1763
2021-06-20T22:00:00+02:00;2460
2021-06-20T23:00:00+02:00;251
2021-06-21T00:00:00+02:00;214
2021-06-21T01:00:00+02:00;163
2021-06-21T02:00:00+02:00;204
2021-06-21T03:00:00+02:00;179
2021-06-21T04:00:00+02:00;190
2021-06-21T05:00:00+02:00;760
2021-06-21T06:00:00+02:00;213
2021-06-21T07:00:00+02:00;161
2021-06-21T08:00:00+02:00;1361
2021-06-21T09:00:00+02:00;1331
2021-06-21T10:00:00+02:00;431
2021-06-21T11:00:00+02:00;354
2021-06-21T12:00:00+02:00;364
2021-06-21T13:00:00+02:00;579
2021-06-21T14:00:00+02:00;2503
2021-06-21T15:00:00+02:00;1100
2021-06-21T16:00:00+02:00;460
2021-06-21T17:00:00+02:00;1460
2021-06-21T18:00:00+02:00;1162
2021-06-21T19:00:00+02:00;2250
2021-06-21T20:00:00+02:00;931
2021-06-21T21:00:00+02:00;1377
2021-06-21T22:00:00+02:00;2168
2021-06-21T23:00:00+02:00;483
2021-06-22T00:00:00+02:00;293
2021-06-22T01:00:00+02:00;333
2021-06-22T02:00:00+02:00;296
2021-06-22T03:00:00+02:00;265
2021-06-22T04:00:00+02:00;266
2021-06-22T05:00:00+02:00;253
2021-06-22T06:00:00+02:00;251
2021-06-22T07:00:00+02:00;924
