date,puissance_w,type_valeur,jour_semaine,pas_temps
2021-06-10 22:00:00,2189.0,Mesurée,jeudi,0.0
2021-06-10 23:00:00,640.0,Mesurée,jeudi,60.0
2021-06-11 00:00:00,268.0,Mesurée,vendredi,60.0
2021-06-11 01:00:00,266.0,Mesurée,vendredi,60.0
2021-06-11 02:00:00,259.0,Mesurée,vendredi,60.0
2021-06-11 03:00:00,440.0,Mesurée,vendredi,60.0
2021-06-11 04:00:00,253.0,Mesurée,vendredi,60.0
2021-06-11 05:00:00,273.0,Mesurée,vendredi,60.0
2021-06-11 06:00:00,572.0,Mesurée,vendredi,60.0
2021-06-11 07:00:00,438.0,Mesurée,vendredi,60.0
2021-06-11 08:00:00,968.0,Mesurée,vendredi,60.0
2021-06-11 09:00:00,602.0,Mesurée,vendredi,60.0
2021-06-11 10:00:00,727.0,Mesurée,vendredi,60.0
2021-06-11 11:00:00,1513.0,Mesurée,vendredi,60.0
2021-06-11 12:00:00,333.0,Mesurée,vendredi,60.0
2021-06-11 13:00:00,300.0,Mesurée,vendredi,60.0
2021-06-11 14:00:00,281.0,Mesurée,vendredi,60.0
2021-06-11 15:00:00,322.0,Mesurée,vendredi,60.0
2021-06-11 16:00:00,349.0,Mesurée,vendredi,60.0
2021-06-11 17:00:00,775.0,Mesurée,vendredi,60.0
2021-06-11 18:00:00,738.0,Mesurée,vendredi,60.0
2021-06-11 19:00:00,1476.0,Mesurée,vendredi,60.0
2021-06-11 20:00:00,1694.0,Mesurée,vendredi,60.0
2021-06-11 21:00:00,1618.0,Mesurée,vendredi,60.0
2021-06-11 22:00:00,797.0,Mesurée,vendredi,60.0
2021-06-11 23:00:00,745.0,Mesurée,vendredi,60.0
2021-06-12 00:00:00,1346.0,Mesurée,samedi,60.0
2021-06-12 01:00:00,389.0,Mesurée,samedi,60.0
2021-06-12 02:00:00,216.0,Mesurée,samedi,60.0
2021-06-12 03:00:00,181.0,Mesurée,samedi,60.0
2021-06-12 04:00:00,166.0,Mesurée,samedi,60.0
2021-06-12 05:00:00,529.0,Mesurée,samedi,60.0
2021-06-12 06:00:00,183.0,Mesurée,samedi,60.0
2021-06-12 07:00:00,170.0,Mesurée,samedi,60.0
2021-06-12 08:00:00,869.0,Mesurée,samedi,60.0
2021-06-12 09:00:00,1474.0,Mesurée,samedi,60.0
2021-06-12 10:00:00,1122.0,Mesurée,samedi,60.0
2021-06-12 11:00:00,377.0,Mesurée,samedi,60.0
2021-06-12 12:00:00,227.0,Mesurée,samedi,60.0
2021-06-12 13:00:00,1635.0,Mesurée,samedi,60.0
2021-06-12 14:00:00,438.0,Mesurée,samedi,60.0
2021-06-12 15:00:00,399.0,Mesurée,samedi,60.0
2021-06-12 16:00:00,1566.0,Mesurée,samedi,60.0
2021-06-12 17:00:00,1385.0,Mesurée,samedi,60.0
2021-06-12 18:00:00,279.0,Mesurée,samedi,60.0
2021-06-12 19:00:00,2260.0,Mesurée,samedi,60.0
2021-06-12 20:00:00,1659.0,Mesurée,samedi,60.0
2021-06-12 21:00:00,1127.0,Mesurée,samedi,60.0
2021-06-12 22:00:00,986.0,Mesurée,samedi,60.0
2021-06-12 23:00:00,309.0,Mesurée,samedi,60.0
2021-06-13 00:00:00,829.0,Mesurée,dimanche,60.0
2021-06-13 01:00:00,249.0,Mesurée,dimanche,60.0
2021-06-13 02:00:00,319.0,Mesurée,dimanche,60.0
2021-06-13 03:00:00,219.0,Mesurée,dimanche,60.0
2021-06-13 04:00:00,560.0,Mesurée,dimanche,60.0
2021-06-13 05:00:00,196.0,Mesurée,dimanche,60.0
2021-06-13 06:00:00,210.0,Mesurée,dimanche,60.0
2021-06-13 07:00:00,225.0,Mesurée,dimanche,60.0
2021-06-13 08:00:00,1022.0,Mesurée,dimanche,60.0
2021-06-13 09:00:00,376.0,Mesurée,dimanche,60.0
2021-06-13 10:00:00,213.0,Mesurée,dimanche,60.0
2021-06-13 11:00:00,197.0,Mesurée,dimanche,60.0
2021-06-13 12:00:00,230.0,Mesurée,dimanche,60.0
2021-06-13 13:00:00,181.0,Mesurée,dimanche,60.0
2021-06-13 14:00:00,199.0,Mesurée,dimanche,60.0
2021-06-13 15:00:00,536.0,Mesurée,dimanche,60.0
2021-06-13 16:00:00,260.0,Mesurée,dimanche,60.0
2021-06-13 17:00:00,801.0,Mesurée,dimanche,60.0
2021-06-13 18:00:00,1413.0,Mesurée,dimanche,60.0
2021-06-13 19:00:00,1545.0,Mesurée,dimanche,60.0
2021-06-13 20:00:00,699.0,Mesurée,dimanche,60.0
2021-06-13 21:00:00,2006.0,Mesurée,dimanche,60.0
2021-06-13 22:00:00,941.0,Mesurée,dimanche,60.0
2021-06-13 23:00:00,243.0,Mesurée,dimanche,60.0
2021-06-14 00:00:00,224.0,Mesurée,lundi,60.0
2021-06-14 01:00:00,190.0,Mesurée,lundi,60.0
2021-06-14 02:00:00,232.0,Mesurée,lundi,60.0
2021-06-14 03:00:00,524.0,Mesurée,lundi,60.0
2021-06-14 04:00:00,780.0,Mesurée,lundi,60.0
2021-06-14 05:00:00,271.0,Mesurée,lundi,60.0
2021-06-14 06:00:00,535.0,Mesurée,lundi,60.0
2021-06-14 07:00:00,280.0,Mesurée,lundi,60.0
2021-06-14 08:00:00,406.0,Mesurée,lundi,60.0
2021-06-14 09:00:00,263.0,Mesurée,lundi,60.0
2021-06-14 10:00:00,257.0,Mesurée,lundi,60.0
2021-06-14 11:00:00,1518.0,Mesurée,lundi,60.0
2021-06-14 12:00:00,2255.0,Mesurée,lundi,60.0
2021-06-14 13:00:00,2113.0,Mesurée,lundi,60.0
2021-06-14 14:00:00,1275.0,Mesurée,lundi,60.0
2021-06-14 15:00:00,846.0,Mesurée,lundi,60.0
2021-06-14 16:00:00,702.0,Mesurée,lundi,60.0
2021-06-14 17:00:00,1022.0,Mesurée,lundi,60.0
2021-06-14 18:00:00,684.0,Mesurée,lundi,60.0
2021-06-14 19:00:00,2844.0,Mesurée,lundi,60.0
2021-06-14 20:00:00,1315.0,Mesurée,lundi,60.0
2021-06-14 21:00:00,985.0,Mesurée,lundi,60.0
2021-06-14 22:00:00,891.0,Mesurée,lundi,60.0
2021-06-14 23:00:00,237.0,Mesurée,lundi,60.0
2021-06-15 00:00:00,264.0,Mesurée,mardi,60.0
2021-06-15 01:00:00,217.0,Mesurée,mardi,60.0
2021-06-15 02:00:00,236.0,Mesurée,mardi,60.0
2021-06-15 03:00:00,740.0,Mesurée,mardi,60.0
2021-06-15 04:00:00,618.0,Mesurée,mardi,60.0
2021-06-15 05:00:00,185.0,Mesurée,mardi,60.0
2021-06-15 06:00:00,218.0,Mesurée,mardi,60.0
2021-06-15 07:00:00,371.0,Mesurée,mardi,60.0
2021-06-15 08:00:00,392.0,Mesurée,mardi,60.0
2021-06-15 09:00:00,288.0,Mesurée,mardi,60.0
2021-06-15 10:00:00,264.0,Mesurée,mardi,60.0
2021-06-15 11:00:00,280.0,Mesurée,mardi,60.0
2021-06-15 12:00:00,218.0,Mesurée,mardi,60.0
2021-06-15 13:00:00,653.0,Mesurée,mardi,60.0
2021-06-15 14:00:00,1310.0,Mesurée,mardi,60.0
